POINT_IDX,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15,DI/DT0,DI/DT1,DI/DT2,DI/DT3,DI/DT4,DI/DT5,DI/DT6,DI/DT7,DI/DT8,DI/DT9,DI/DT10,DI/DT11,DI/DT12,DI/DT13,DI/DT14,DI/DT15
20,5.451,0.6,10.741662999999999,9.708333,8.304159,10.170826,10.837499,6.070828000000001,11.012497999999999,9.024993,9.349998,6.241663,8.149997,8.687496,9.224995,-0.041668,9.599996,9.104165,0.01530882352940303,0.09191911764705485,0.030621323529411135,-0.01533455882352754,-0.030621323529417665,0.06126838235294351,0.07660661764705327,0.07657720588234981,0.18383823529411622,-0.061272058823529,-0.18380882352941275,-0.07658088235294182,0.0,0.09191911764705908,0.1685000000000032,-0.10722794117647094
21,5.724,0.6,10.708332,9.670829999999999,8.299994,10.183327,10.866665,6.020832,10.995833,9.02083,9.341661,6.249992,8.141661000000001,8.654165,9.191665,-0.04584,9.608332,9.091664,-0.12209157509156995,-0.13737362637362957,-0.015256410256411756,0.045791208791209854,0.1068351648351647,-0.1831355311355313,-0.06104395604395484,-0.015249084249084725,-0.030538461538458364,0.030509157509156743,-0.0305347985347981,-0.12209157509156995,-0.12208791208790969,-0.015282051282051257,0.0305347985347981,-0.045791208791209854
22,5.996,0.6,10.745827,9.691659,8.29583,10.158332,10.837499,6.0333250000000005,10.970831,9.041659,9.337497,6.258329,8.166663,8.679160000000001,9.191665,-0.037503,9.608332,9.095827,0.13784926470588163,0.07657720588235609,-0.01530882352940951,-0.0918933823529431,-0.10722794117647058,0.04593014705882381,-0.09191911764705454,0.07657720588234956,-0.01530882352940951,0.030650735294117763,0.09191911764705454,0.0918933823529431,0.0,0.03065073529411761,0.0,0.015305147058824025
23,6.269,0.6,10.720825000000001,9.691659,8.324997,10.166661000000001,10.841663,6.0416620000000005,10.983331999999999,9.037494,9.358327000000001,6.27083,8.162498,8.666659000000001,9.183327,-0.033339,9.620825,9.112493,-0.0915824175824135,0.0,0.10683882783882531,0.03050915750916335,0.015252747252751544,0.030538461538461716,0.0457912087912035,-0.0152564102564053,0.07630036630036685,0.04579120879121001,-0.015256410256411806,-0.04579120879121001,-0.03054212454212523,0.015252747252747273,0.04576190476190188,0.061047619047621814
24,6.541,0.6,10.737499000000001,9.645828,8.31666,10.174997,10.849993,6.070828000000001,10.983331999999999,9.029166,9.333332,6.27083,8.166663,8.662494,9.212494000000001,-0.050004,9.604159999999998,9.108328,0.061301470588235527,-0.16849632352941063,-0.0306507352941145,0.030647058823522484,0.03062499999999652,0.10722794117647058,0.0,-0.03061764705882555,-0.0918933823529431,0.0,0.015312500000001525,-0.015312500000001525,0.1072316176470626,-0.06126838235294112,-0.06126838235294658,-0.015312500000001525
25,6.814,0.6,10.724997,9.691659,8.299994,10.13333,10.820825999999999,6.054163,10.962494000000001,9.024993,9.312495,6.233327,8.183328999999999,8.695832999999999,9.179163,-0.054169,9.591659,9.095827,-0.045794871794876776,0.1678791208791201,-0.061047619047621814,-0.15262637362636855,-0.10683882783883182,-0.0610439560439583,-0.07632967032966197,-0.015285714285713426,-0.07632600732600821,-0.13737362637362677,0.061047619047615305,0.12212087912087197,-0.12209157509157685,-0.015256410256410282,-0.0457912087912035,-0.04579120879121001
26,7.087,0.6,10.745827,9.687496000000001,8.29583,10.174997,10.824998,6.045826,10.991661,9.004164000000001,9.312495,6.283331,8.158326,8.699997,9.204165999999999,-0.058341,9.570829,9.091664,0.07630036630036685,-0.015249084249078268,-0.015252747252745037,0.15262637362636855,0.015282051282059669,-0.030538461538461716,0.10683882783882531,-0.07629670329670007,0.0,0.18316483516483678,-0.09158608058607377,0.015252747252751544,0.09158608058607377,-0.015282051282051281,-0.07630036630036685,-0.015249084249084775
27,7.359,0.6,10.712496,9.683331,8.291666,10.149995,10.845828000000001,6.066663999999999,10.987496,9.024993,9.341661,6.29166,8.149997,8.683332,9.208329,-0.062505,9.566665,9.074997999999999,-0.12254044117647211,-0.015312500000001525,-0.015308823529416041,-0.09191911764705454,0.07658088235294157,0.07661029411764504,-0.015312500000001525,0.07657720588234956,0.10722794117647058,0.030621323529411035,-0.030621323529411035,-0.06126838235294005,0.015305147058830557,-0.015308823529411781,-0.01530882352940951,-0.06127205882353206
28,7.632,0.6,10.741662999999999,9.666665,8.29583,10.141658999999999,10.812497,6.083329,10.999997,9.024993,9.308330000000002,6.258329,8.187492,8.712498,9.224995,-0.041668,9.554164,9.079162,0.10683882783882531,-0.061047619047621814,0.015252747252751544,-0.030534798534804706,-0.12209157509157685,0.0610439560439583,0.04579120879121001,0.0,-0.12209157509157036,-0.12209157509157685,0.1373443223443219,0.10683516483516504,0.061047619047615305,0.07632600732600744,-0.04579120879121001,0.015252747252751544
29,7.904,0.6,10.699995000000001,9.687496000000001,8.308330999999999,10.162496,10.812497,6.01666,10.941664000000001,9.049996,9.341661,6.27083,8.166663,8.679160000000001,9.224995,-0.037503,9.579166,9.104165,-0.1531911764705801,0.07658455882353359,0.04595955882352401,0.07660661764706608,0.0,-0.24510661764705893,-0.21445955882352666,0.09192279411764656,0.12254044117646558,0.04595955882353054,-0.07657720588235609,-0.12256617647058356,0.0,0.015312499999999968,0.09191911764706108,0.09192279411764656
