POINT,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15
28,6.239,0.87,9.899998e-06,1.0049995e-05,9.349998e-06,9.612497e-06,1.0324995e-05,9.60416e-06,9.708333e-06,1.0233331e-05,5.049992e-06,2.0612493e-05,9.741664e-06,6.499998e-06,2.0516665e-05,5.054164e-06,5.033326e-06,5.033326e-06
29,6.462,0.89,9.591659e-06,9.762493e-06,1.0129165e-05,1.0437497e-05,1.1283326e-05,1.0354162e-05,9.633327e-06,1.0899997e-05,5.237492e-06,2.0691665e-05,9.549999e-06,6.574996e-06,2.0666663e-05,5.233328e-06,5.216662e-06,5.195832e-06
30,6.685,0.91,9.741664e-06,9.899998e-06,1.0933328e-05,1.1345832e-05,1.2337494e-05,1.1283326e-05,9.908326e-06,1.1616659e-05,5.354166e-06,2.0808331e-05,9.779159e-06,6.791663e-06,2.0745825e-05,5.35833e-06,5.341665e-06,5.333328e-06
31,6.907,0.93,1.0137494e-05,1.0387492e-05,1.1849999e-05,1.2374997e-05,1.3383333e-05,1.2233329e-05,1.0345832e-05,1.254166e-05,5.504163e-06,2.0924997e-05,1.0237495e-05,7.037497e-06,2.0920834e-05,5.508327e-06,5.483325e-06,5.516664e-06
32,7.13,0.95,1.0816661e-05,1.1091662e-05,1.2879165e-05,1.3491663e-05,1.454583e-05,1.3270831e-05,1.0949993e-05,1.3624994e-05,5.683327e-06,2.1133328e-05,1.0887496e-05,7.487496e-06,2.1137499e-05,5.670825e-06,5.666661e-06,5.670825e-06
33,7.353,0.97,1.1575e-05,1.1816661e-05,1.3770827e-05,1.454583e-05,1.5691661e-05,1.4329164e-05,1.1674992e-05,1.465416e-05,5.795829e-06,2.1241665e-05,1.169583e-05,7.912493e-06,2.1249994e-05,5.804165e-06,5.820831e-06,5.804165e-06
34,7.576,0.99,1.2416665e-05,1.2645833e-05,1.4770826e-05,1.5512498e-05,1.6604161e-05,1.5237499e-05,1.2499992e-05,1.5708327e-05,5.974992e-06,2.1379161e-05,1.2570827e-05,8.383329e-06,2.1320828e-05,5.974992e-06,5.966663e-06,5.958327e-06
35,7.799,1.01,1.3354166e-05,1.3520829e-05,1.5612499e-05,1.6420834e-05,1.7508331e-05,1.6154163e-05,1.3424992e-05,1.6645829e-05,6.133326e-06,2.1512493e-05,1.3608328e-05,8.937494e-06,2.146666e-05,6.124997e-06,6.129162e-06,6.145827e-06
36,8.022,1.03,1.445833e-05,1.4483333e-05,1.6541664e-05,1.7337497e-05,1.8499994e-05,1.7045832e-05,1.4441665e-05,1.7591659e-05,6.279159e-06,2.1612494e-05,1.4724994e-05,9.487494e-06,2.1600001e-05,6.27083e-06,6.249992e-06,6.29166e-06
37,8.244,1.06,1.545833e-05,1.5483332e-05,1.7408331e-05,1.8199993e-05,1.9279161e-05,1.786666e-05,1.545833e-05,1.8512495e-05,6.466659e-06,2.179583e-05,1.5745831e-05,1.0016664e-05,2.1749996e-05,6.441664e-06,6.474996e-06,6.466659e-06
38,8.467,1.08,1.650416e-05,1.649166e-05,1.8224995e-05,1.9033328e-05,2.0120828e-05,1.8679166e-05,1.6474994e-05,1.942083e-05,6.624993e-06,2.1945827e-05,1.6770831e-05,1.0579165e-05,2.1883328e-05,6.629165e-06,6.612492e-06,6.645831e-06
39,8.69,1.1,1.7533326e-05,1.7541663e-05,1.8995834e-05,1.9812496e-05,2.0924997e-05,1.942083e-05,1.7424996e-05,2.0229165e-05,6.82083e-06,2.2149999e-05,1.7816663e-05,1.1179161e-05,2.2074993e-05,6.824994e-06,6.795828e-06,6.791663e-06
40,8.913,1.12,1.8449999e-05,1.8483328e-05,1.9666664e-05,2.0537496e-05,2.1570833e-05,2.015833e-05,1.8270826e-05,2.1029162e-05,6.999993e-06,2.2316663e-05,1.8624996e-05,1.1633332e-05,2.219166e-05,6.970827e-06,6.983328e-06,6.962498e-06
41,9.136,1.14,1.93e-05,1.9391664e-05,2.0349995e-05,2.1258331e-05,2.2262493e-05,2.0899995e-05,1.9149995e-05,2.1762498e-05,7.124996e-06,2.2387496e-05,1.9479163e-05,1.2212499e-05,2.2299997e-05,7.124996e-06,7.133333e-06,7.129161e-06
42,9.358,1.16,2.0212499e-05,2.03125e-05,2.0995831e-05,2.1904167e-05,2.2912494e-05,2.1587499e-05,2.0004161e-05,2.2433329e-05,7.320825e-06,2.2562495e-05,2.0291662e-05,1.2683328e-05,2.2495826e-05,7.320825e-06,7.312497e-06,7.291659e-06
43,9.581,1.18,2.0983331e-05,2.1179159e-05,2.1641659e-05,2.2620829e-05,2.3616663e-05,2.220416e-05,2.0699994e-05,2.3099994e-05,7.516662e-06,2.2704164e-05,2.1041664e-05,1.3149993e-05,2.263333e-05,7.479159e-06,7.47083e-06,7.49166e-06
44,9.804,1.2,2.1779164e-05,2.190833e-05,2.2229164e-05,2.3179166e-05,2.4191666e-05,2.2804164e-05,2.1429165e-05,2.3770834e-05,7.629164e-06,2.2841659e-05,2.1758326e-05,1.3712493e-05,2.2845832e-05,7.654166e-06,7.645829e-06,7.637493e-06
45,10.027,1.22,2.2562495e-05,2.2729166e-05,2.282083e-05,2.3804165e-05,2.4779161e-05,2.3429164e-05,2.2145827e-05,2.4345827e-05,7.841659e-06,2.3049999e-05,2.2458331e-05,1.4195832e-05,2.2962498e-05,7.83333e-06,7.824993e-06,7.845831e-06
46,10.25,1.24,2.3254164e-05,2.3454166e-05,2.3374994e-05,2.4412497e-05,2.5404159e-05,2.4024996e-05,2.2812494e-05,2.4983327e-05,8.029159e-06,2.3208331e-05,2.3183329e-05,1.4649995e-05,2.311666e-05,8.02083e-06,8.045832e-06,8.04166e-06
47,10.473,1.26,2.3891664e-05,2.411666e-05,2.39e-05,2.4904164e-05,2.5883333e-05,2.4558329e-05,2.3449993e-05,2.5512496e-05,8.149997e-06,2.3312497e-05,2.3754159e-05,1.509583e-05,2.3258328e-05,8.191665e-06,8.166663e-06,8.187492e-06
48,10.695,1.28,2.4608325e-05,2.4766659e-05,2.4466666e-05,2.5537498e-05,2.6437498e-05,2.5129159e-05,2.4012494e-05,2.605416e-05,8.341662e-06,2.3449993e-05,2.4412497e-05,1.5533327e-05,2.3404162e-05,8.374993e-06,8.408332e-06,8.379166e-06
49,10.918,1.3,2.5162499e-05,2.5437497e-05,2.4929166e-05,2.6024993e-05,2.6924999e-05,2.5620826e-05,2.4616662e-05,2.6545827e-05,8.524998e-06,2.3670833e-05,2.5024994e-05,1.5966662e-05,2.3641665e-05,8.549992e-06,8.57083e-06,8.549992e-06
50,11.141,1.28,2.4537499e-05,2.4774996e-05,2.4383331e-05,2.539583e-05,2.6387494e-05,2.5070825e-05,2.4029159e-05,2.6079162e-05,8.370828e-06,2.3499997e-05,2.4374993e-05,1.5529164e-05,2.3445829e-05,8.379166e-06,8.370828e-06,8.354164e-06
51,11.364,1.26,2.373333e-05,2.4012494e-05,2.3791663e-05,2.48125e-05,2.5741665e-05,2.441666e-05,2.3266664e-05,2.538333e-05,8.19583e-06,2.3333327e-05,2.3691662e-05,1.5012495e-05,2.3237499e-05,8.179164e-06,8.208331e-06,8.216659e-06
52,11.587,1.24,2.3012495e-05,2.3229162e-05,2.3183329e-05,2.4154162e-05,2.5095829e-05,2.37125e-05,2.2595827e-05,2.4729165e-05,7.974998e-06,2.3166664e-05,2.2891665e-05,1.4495826e-05,2.3141662e-05,7.974998e-06,7.995828e-06,7.995828e-06
53,11.81,1.22,2.220416e-05,2.2462495e-05,2.2504162e-05,2.3399996e-05,2.4454164e-05,2.3070828e-05,2.1824995e-05,2.4058327e-05,7.824993e-06,2.2991666e-05,2.2179167e-05,1.3983329e-05,2.2958326e-05,7.829165e-06,7.799999e-06,7.83333e-06
54,12.032,1.2,2.1283333e-05,2.1558333e-05,2.1837497e-05,2.2712493e-05,2.3737493e-05,2.2320826e-05,2.099166e-05,2.3291659e-05,7.645829e-06,2.2883329e-05,2.1354166e-05,1.3420829e-05,2.2854161e-05,7.637493e-06,7.67916e-06,7.654166e-06
55,12.255,1.18,2.0449996e-05,2.0691665e-05,2.1112497e-05,2.1966664e-05,2.294166e-05,2.1624994e-05,2.0199997e-05,2.2554159e-05,7.483332e-06,2.2712493e-05,2.0508329e-05,1.2920833e-05,2.2649996e-05,7.495833e-06,7.49166e-06,7.47083e-06
56,12.478,1.16,1.9516667e-05,1.9779165e-05,2.0462498e-05,2.117083e-05,2.2233327e-05,2.0845826e-05,1.9349996e-05,2.1758326e-05,7.333326e-06,2.2620829e-05,1.9620831e-05,1.2379161e-05,2.2558332e-05,7.308332e-06,7.312497e-06,7.279165e-06
57,12.701,1.14,1.8395829e-05,1.8712497e-05,1.9633333e-05,2.035416e-05,2.1404163e-05,2.0004161e-05,1.8354162e-05,2.0899995e-05,7.141662e-06,2.247916e-05,1.8679166e-05,1.1808332e-05,2.2354167e-05,7.129161e-06,7.158327e-06,7.174993e-06
58,12.924,1.12,1.7391665e-05,1.7662493e-05,1.8862494e-05,1.9483328e-05,2.0512494e-05,1.9195826e-05,1.7424996e-05,2.0104162e-05,6.987492e-06,2.2270831e-05,1.76375e-05,1.1204163e-05,2.220416e-05,6.974999e-06,6.949997e-06,6.949997e-06
59,13.147,1.1,1.6291666e-05,1.6587495e-05,1.8004162e-05,1.8599994e-05,1.961666e-05,1.8299992e-05,1.6387494e-05,1.91125e-05,6.804164e-06,2.2154165e-05,1.6562493e-05,1.061666e-05,2.2095832e-05,6.816666e-06,6.837495e-06,6.841659e-06
60,13.369,1.08,1.4962498e-05,1.535833e-05,1.7037495e-05,1.7579167e-05,1.8629162e-05,1.7262499e-05,1.5166665e-05,1.8129165e-05,6.641666e-06,2.201666e-05,1.5429163e-05,1.0008327e-05,2.1966664e-05,6.637494e-06,6.66666e-06,6.66666e-06
61,13.592,1.06,1.3745833e-05,1.4120833e-05,1.6058326e-05,1.655833e-05,1.7624998e-05,1.6287493e-05,1.399583e-05,1.7062497e-05,6.499998e-06,2.1858326e-05,1.4112497e-05,9.404159e-06,2.1845834e-05,6.529164e-06,6.495825e-06,6.499998e-06
62,13.815,1.03,1.254166e-05,1.2820832e-05,1.5016659e-05,1.5525e-05,1.6512497e-05,1.5199995e-05,1.2783329e-05,1.592083e-05,6.374995e-06,2.1770828e-05,1.2929161e-05,8.774996e-06,2.1708329e-05,6.312498e-06,6.349993e-06,6.333327e-06
63,14.038,1.01,1.1395828e-05,1.1674992e-05,1.3883328e-05,1.4354166e-05,1.5333326e-05,1.4066664e-05,1.162916e-05,1.4720829e-05,6.149999e-06,2.1637496e-05,1.171666e-05,8.149997e-06,2.1558333e-05,6.141663e-06,6.133326e-06,6.104159e-06
64,14.261,0.99,1.0608332e-05,1.0774994e-05,1.2704166e-05,1.3108333e-05,1.4108332e-05,1.2929161e-05,1.0829162e-05,1.3445831e-05,6.008331e-06,2.1404163e-05,1.0708332e-05,7.658331e-06,2.1412499e-05,5.991666e-06,5.958327e-06,5.954162e-06
65,14.483,0.97,9.995826e-06,1.0124993e-05,1.1504166e-05,1.1949992e-05,1.2845826e-05,1.1704159e-05,1.0199992e-05,1.2199998e-05,5.833332e-06,2.1370832e-05,1.0120829e-05,7.21666e-06,2.1266658e-05,5.812494e-06,5.849997e-06,5.833332e-06
66,14.706,0.95,9.849993e-06,9.962495e-06,1.0333331e-05,1.0754164e-05,1.1570827e-05,1.0612495e-05,9.912499e-06,1.1104163e-05,5.649996e-06,2.1166667e-05,9.849993e-06,6.958326e-06,2.1129163e-05,5.695828e-06,5.658333e-06,5.65416e-06
67,14.929,0.93,1.0141659e-05,1.024166e-05,9.366663e-06,9.762493e-06,1.0412495e-05,9.749992e-06,1.0016664e-05,1.0304165e-05,5.537494e-06,2.1058329e-05,1.004583e-05,6.808329e-06,2.1033327e-05,5.53333e-06,5.508327e-06,5.520828e-06
68,15.152,0.91,1.0737499e-05,1.0887496e-05,8.77916e-06,9.204166e-06,9.699997e-06,9.22083e-06,1.0491665e-05,9.79166e-06,5.349994e-06,2.0924997e-05,1.0524996e-05,6.858325e-06,2.0858328e-05,5.341665e-06,5.354166e-06,5.362495e-06
69,15.375,0.89,1.1524995e-05,1.180416e-05,8.57083e-06,9.008329e-06,9.366663e-06,9.058333e-06,1.1270833e-05,9.624998e-06,5.220827e-06,2.0791666e-05,1.1249996e-05,6.966663e-06,2.0741662e-05,5.174994e-06,5.183331e-06,5.187495e-06
70,15.598,0.87,1.2416665e-05,1.2749998e-05,8.870832e-06,9.204166e-06,9.516661e-06,9.316659e-06,1.2083332e-05,9.891661e-06,5.016661e-06,2.0595829e-05,1.2083332e-05,7.187494e-06,2.0570826e-05,5.020825e-06,5.024997e-06,5.033326e-06
